Datetime__PJME_hourly.csv,PJME_MW__PJME_hourly.csv
2002-01-01 19:00:00,714857
2002-01-02 05:00:00,822277
2002-01-03 02:00:00,828285
2002-01-04 09:00:00,809171
2002-01-05 16:00:00,729723
2002-01-06 23:00:00,727766
2002-01-07 09:00:00,800012
2002-01-08 06:00:00,824710
2002-01-09 13:00:00,810628
2002-01-10 20:00:00,755317
2002-01-11 06:00:00,742741
2002-01-12 03:00:00,683205
2002-01-13 10:00:00,673268
2002-01-14 17:00:00,758471
2002-01-15 03:00:00,749371
2002-01-16 00:00:00,768234
2002-01-17 07:00:00,765151
2002-01-18 14:00:00,769035
2002-01-19 21:00:00,766232
2002-01-20 07:00:00,707590
2002-01-21 04:00:00,778438
2002-01-22 11:00:00,756951
2002-01-23 18:00:00,755864
2002-01-24 04:00:00,734778
2002-01-25 01:00:00,724412
2002-01-26 08:00:00,673840
2002-01-27 05:00:00,639494
2002-01-28 12:00:00,707708
2002-01-29 19:00:00,696677
2002-01-30 05:00:00,685796
2002-01-31 02:00:00,729020
2002-02-01 09:00:00,711909
2002-02-02 16:00:00,687530
2002-02-03 23:00:00,686370
2002-02-04 09:00:00,781528
2002-02-05 06:00:00,838901
2002-02-06 13:00:00,791281
2002-02-07 20:00:00,773402
2002-02-08 06:00:00,739912
2002-02-09 03:00:00,665362
2002-02-10 10:00:00,642901
2002-02-11 17:00:00,740796
2002-02-12 03:00:00,789807
2002-02-13 00:00:00,767164
2002-02-14 07:00:00,796215
2002-02-15 14:00:00,759953
2002-02-16 21:00:00,644450
2002-02-17 07:00:00,645198
2002-02-18 04:00:00,742299
2002-02-19 11:00:00,747740
2002-02-20 18:00:00,712180
2002-02-21 04:00:00,685299
2002-02-22 22:00:00,697311
2002-02-23 08:00:00,662570
2002-02-24 05:00:00,648815
2002-02-25 12:00:00,718081
2002-02-26 19:00:00,703666
2002-02-27 05:00:00,753861
2002-02-28 02:00:00,786219
2002-03-01 09:00:00,756887
2002-03-02 16:00:00,683816
2002-03-03 23:00:00,615464
2002-03-04 09:00:00,774052
2002-03-05 06:00:00,817351
2002-03-06 13:00:00,747963
2002-03-07 20:00:00,702524
2002-03-08 06:00:00,680682
2002-03-09 03:00:00,605297
2002-03-10 10:00:00,618204
2002-03-11 17:00:00,748522
2002-03-12 03:00:00,739974
2002-03-13 00:00:00,727489
2002-03-14 07:00:00,690593
2002-03-15 14:00:00,665987
2002-03-16 21:00:00,596716
2002-03-17 07:00:00,647746
2002-03-18 04:00:00,743591
2002-03-19 11:00:00,719426
2002-03-20 18:00:00,742596
2002-03-21 15:00:00,711240
2002-03-22 22:00:00,786065
2002-03-23 08:00:00,696246
2002-03-24 05:00:00,628654
2002-03-25 12:00:00,706636
2002-03-26 19:00:00,740223
2002-03-27 05:00:00,714165
2002-03-28 02:00:00,707897
2002-03-29 09:00:00,636759
2002-03-30 16:00:00,578432
2002-03-31 23:00:00,551994
2002-04-01 09:00:00,660494
2002-04-02 06:00:00,687613
2002-04-03 13:00:00,681449
2002-04-04 20:00:00,704041
2002-04-05 06:00:00,718623
2002-04-06 03:00:00,666345
2002-04-07 10:00:00,609001
2002-04-08 17:00:00,693387
2002-04-09 03:00:00,681338
2002-04-10 00:00:00,665711
2002-04-11 07:00:00,672245
2002-04-12 14:00:00,673127
2002-04-13 21:00:00,600343
2002-04-14 07:00:00,580506
2002-04-15 04:00:00,707337
2002-04-16 11:00:00,795878
2002-04-17 08:00:00,869130
2002-04-18 15:00:00,873253
2002-04-19 22:00:00,810692
2002-04-20 08:00:00,653474
2002-04-21 05:00:00,579630
2002-04-22 12:00:00,677322
2002-04-23 19:00:00,685431
2002-04-24 05:00:00,685822
2002-04-25 02:00:00,692133
2002-04-26 09:00:00,671908
2002-04-27 16:00:00,593258
2002-04-28 23:00:00,583363
2002-04-29 09:00:00,664942
2002-04-30 06:00:00,678676
2002-05-01 13:00:00,669293
2002-05-02 20:00:00,692024
2002-05-03 06:00:00,660572
2002-05-04 03:00:00,592177
2002-05-05 10:00:00,566469
2002-05-06 17:00:00,669601
2002-05-07 03:00:00,711207
2002-05-08 00:00:00,712312
2002-05-09 07:00:00,682712
2002-05-10 14:00:00,684371
2002-05-11 21:00:00,589959
2002-05-12 07:00:00,584470
2002-05-13 04:00:00,715500
2002-05-14 01:00:00,670896
2002-05-15 08:00:00,672111
2002-05-16 15:00:00,690924
2002-05-17 22:00:00,712957
2002-05-18 08:00:00,602082
2002-05-19 05:00:00,573478
2002-05-20 12:00:00,665933
2002-05-21 19:00:00,678756
2002-05-22 05:00:00,679662
2002-05-23 02:00:00,683462
2002-05-24 09:00:00,708157
2002-05-25 16:00:00,616304
2002-05-26 23:00:00,584436
2002-05-27 09:00:00,626146
2002-05-28 06:00:00,750204
2002-05-29 13:00:00,783474
2002-05-30 20:00:00,807672
2002-05-31 06:00:00,849477
2002-06-01 03:00:00,771455
2002-06-02 10:00:00,694947
2002-06-03 17:00:00,723630
2002-06-04 03:00:00,753659
2002-06-05 00:00:00,872231
2002-06-06 07:00:00,866047
2002-06-07 14:00:00,710618
2002-06-08 21:00:00,630612
2002-06-09 18:00:00,644785
2002-06-10 04:00:00,842135
2002-06-11 01:00:00,916543
2002-06-12 08:00:00,949212
2002-06-13 15:00:00,789582
2002-06-14 22:00:00,709865
2002-06-15 08:00:00,627423
2002-06-16 05:00:00,615881
2002-06-17 12:00:00,743860
2002-06-18 19:00:00,758100
2002-06-19 05:00:00,772430
2002-06-20 02:00:00,804631
2002-06-21 09:00:00,815867
2002-06-22 16:00:00,774474
2002-06-23 23:00:00,798612
2002-06-24 09:00:00,979873
2002-06-25 06:00:00,1009509
2002-06-26 13:00:00,1042318
2002-06-27 20:00:00,1027375
2002-06-28 06:00:00,911246
2002-06-29 03:00:00,816514
2002-06-30 10:00:00,808428
2002-07-01 17:00:00,945138
2002-07-02 03:00:00,1037579
2002-07-03 00:00:00,1100265
2002-07-04 07:00:00,1021888
2002-07-05 14:00:00,940684
2002-07-06 11:00:00,734859
2002-07-07 18:00:00,708865
2002-07-08 04:00:00,896083
2002-07-09 01:00:00,988249
2002-07-10 08:00:00,923274
2002-07-11 15:00:00,778413
2002-07-12 22:00:00,771706
2002-07-13 08:00:00,712285
2002-07-14 05:00:00,702322
2002-07-15 12:00:00,914836
2002-07-16 19:00:00,952913
2002-07-17 05:00:00,978813
2002-07-18 02:00:00,1058488
2002-07-19 09:00:00,1025907
2002-07-20 16:00:00,881769
2002-07-21 23:00:00,852133
2002-07-22 09:00:00,1007791
2002-07-23 06:00:00,1064356
2002-07-24 13:00:00,888279
2002-07-25 20:00:00,823389
2002-07-26 06:00:00,757130
2002-07-27 03:00:00,728853
2002-07-28 10:00:00,859107
2002-07-29 17:00:00,1100994
2002-07-30 03:00:00,1098451
2002-07-31 00:00:00,1048352
2002-08-01 07:00:00,1068775
2002-08-02 04:00:00,1077242
2002-08-03 11:00:00,940315
2002-08-04 18:00:00,951684
2002-08-05 04:00:00,1042815
2002-08-06 01:00:00,876309
2002-08-07 08:00:00,767298
2002-08-08 15:00:00,779124
2002-08-09 22:00:00,803163
2002-08-10 08:00:00,781112
2002-08-11 05:00:00,823847
2002-08-12 12:00:00,1009674
2002-08-13 19:00:00,1076072
2002-08-14 05:00:00,1093929
2002-08-15 02:00:00,1087066
2002-08-16 09:00:00,1072652
2002-08-17 16:00:00,993094
2002-08-18 23:00:00,985513
2002-08-19 09:00:00,1067386
2002-08-20 06:00:00,1007164
2002-08-21 13:00:00,927748
2002-08-22 20:00:00,938019
2002-08-23 06:00:00,943801
2002-08-24 03:00:00,810195
2002-08-25 10:00:00,779610
2002-08-26 17:00:00,849061
2002-08-27 03:00:00,863395
2002-08-28 21:00:00,793552
2002-08-29 07:00:00,723440
2002-08-30 04:00:00,707667
2002-08-31 11:00:00,641710
2002-09-01 18:00:00,595035
2002-09-02 04:00:00,613365
2002-09-03 01:00:00,790708
2002-09-04 08:00:00,914630
2002-09-05 15:00:00,831648
2002-09-06 22:00:00,769045
2002-09-07 08:00:00,693882
2002-09-08 05:00:00,684631
2002-09-09 12:00:00,828157
2002-09-10 19:00:00,893093
2002-09-11 05:00:00,824715
2002-09-12 02:00:00,727273
2002-09-13 09:00:00,737128
2002-09-14 16:00:00,716162
2002-09-15 23:00:00,738657
2002-09-16 09:00:00,848934
2002-09-17 06:00:00,798300
2002-09-18 13:00:00,771670
2002-09-19 20:00:00,782616
2002-09-20 06:00:00,809783
2002-09-21 03:00:00,778833
2002-09-22 10:00:00,764796
2002-09-23 07:00:00,776169
2002-09-24 14:00:00,721652
2002-09-25 21:00:00,712228
2002-09-26 07:00:00,706482
2002-09-27 04:00:00,727777
2002-09-28 11:00:00,667782
2002-09-29 18:00:00,599185
2002-09-30 04:00:00,698321
2002-10-01 01:00:00,739574
2002-10-02 08:00:00,811988
2002-10-03 15:00:00,839163
2002-10-04 22:00:00,782927
2002-10-05 08:00:00,744534
2002-10-06 05:00:00,598611
2002-10-07 12:00:00,713104
2002-10-08 19:00:00,672220
2002-10-09 05:00:00,678633
2002-10-10 02:00:00,692637
2002-10-11 09:00:00,692971
2002-10-12 16:00:00,619249
2002-10-13 23:00:00,587239
2002-10-14 09:00:00,654397
2002-10-15 06:00:00,688532
2002-10-16 13:00:00,695297
2002-10-17 20:00:00,688367
2002-10-18 06:00:00,683060
2002-10-19 03:00:00,622845
2002-10-20 00:00:00,588313
2002-10-21 07:00:00,681969
2002-10-22 14:00:00,696379
2002-10-23 21:00:00,694997
2002-10-24 07:00:00,714819
2002-10-25 04:00:00,711390
2002-10-26 11:00:00,622769
2002-10-27 18:00:00,576612
2002-10-28 04:00:00,694956
2002-10-29 01:00:00,735200
2002-10-30 08:00:00,761711
2002-10-31 15:00:00,741290
2002-11-01 22:00:00,737843
2002-11-02 08:00:00,679193
2002-11-03 05:00:00,656181
2002-11-04 12:00:00,731311
2002-11-05 19:00:00,735184
2002-11-06 05:00:00,727403
2002-11-07 02:00:00,732357
2002-11-08 09:00:00,719626
2002-11-09 16:00:00,630185
2002-11-10 23:00:00,598971
2002-11-11 09:00:00,688117
2002-11-12 06:00:00,702563
2002-11-13 13:00:00,719981
2002-11-14 20:00:00,721928
2002-11-15 17:00:00,696076
2002-11-16 03:00:00,660613
2002-11-17 00:00:00,662879
2002-11-18 07:00:00,746560
2002-11-19 14:00:00,770987
2002-11-20 21:00:00,738839
2002-11-21 07:00:00,740437
2002-11-22 04:00:00,719982
2002-11-23 11:00:00,694056
2002-11-24 18:00:00,652197
2002-11-25 04:00:00,729006
2002-11-26 01:00:00,733487
2002-11-27 08:00:00,764195
2002-11-28 15:00:00,695280
2002-11-29 22:00:00,722226
2002-11-30 08:00:00,673470
2002-12-01 05:00:00,713296
2002-12-02 12:00:00,791862
2002-12-03 19:00:00,843500
2002-12-04 05:00:00,876796
2002-12-05 02:00:00,866240
2002-12-06 09:00:00,829958
2002-12-07 16:00:00,791071
2002-12-08 23:00:00,745114
2002-12-09 09:00:00,855047
2002-12-10 06:00:00,881712
2002-12-11 13:00:00,864566
2002-12-12 10:00:00,807515
2002-12-13 17:00:00,811306
2002-12-14 03:00:00,729167
2002-12-15 00:00:00,696062
2002-12-16 07:00:00,791122
2002-12-17 14:00:00,849753
2002-12-18 21:00:00,859524
2002-12-19 07:00:00,808676
2002-12-20 04:00:00,746486
2002-12-21 11:00:00,714734
2002-12-22 18:00:00,685294
2002-12-23 04:00:00,742869
2002-12-24 01:00:00,733142
2002-12-25 08:00:00,708813
2002-12-26 15:00:00,770556
2002-12-27 22:00:00,790472
2002-12-28 08:00:00,744303
2002-12-29 05:00:00,698221
2002-12-30 12:00:00,770258
2002-12-31 19:00:00,709463
2003-01-01 05:00:00,662489
2003-01-02 02:00:00,770850
2003-01-03 09:00:00,808842
2003-01-04 16:00:00,749169
2003-01-05 23:00:00,742710
2003-01-06 09:00:00,816344
2003-01-07 06:00:00,849052
2003-01-08 03:00:00,808050
2003-01-09 10:00:00,763482
