,나이__은행마케팅.csv,직업__은행마케팅.csv,혼인여부__은행마케팅.csv,학업__은행마케팅.csv,신용카드 소지 여부__은행마케팅.csv,연봉__은행마케팅.csv,집담보 대출__은행마케팅.csv,기타 대출__은행마케팅.csv,연락 방법__은행마케팅.csv,최근 연락한 날 (일)__은행마케팅.csv,최근 연락한 날 (월)__은행마케팅.csv,최근 연락 기간__은행마케팅.csv,최근 켐페인 참가 여부__은행마케팅.csv,최근 켐페인 이후 시간 소요 (일)__은행마케팅.csv,최근 켐페인 이후 연락 횟수__은행마케팅.csv,이전 마케팅 성공 여부 __은행마케팅.csv,과금 여부__은행마케팅.csv
0,62,housemaid,married,unknown,no,2021,no,no,telephone,26,feb,361,1,-1,0,unknown,2
1,34,blue-collar,married,secondary,no,320,yes,no,cellular,12,nov,413,1,92,3,success,2
2,43,self-employed,married,tertiary,no,2501,no,no,cellular,9,jul,582,2,161,4,failure,1
3,31,technician,married,secondary,no,585,yes,no,telephone,11,nov,133,1,-1,0,unknown,1
4,50,blue-collar,married,primary,no,1617,no,no,cellular,26,aug,55,4,-1,0,unknown,1
5,26,technician,single,tertiary,no,8839,yes,no,unknown,29,may,932,3,-1,0,unknown,1
6,59,blue-collar,married,primary,no,3062,yes,no,cellular,14,aug,87,2,-1,0,unknown,1
7,45,technician,married,secondary,no,1028,yes,no,cellular,9,jul,113,1,-1,0,unknown,1
8,39,management,single,tertiary,no,1509,no,no,cellular,11,nov,248,1,-1,0,unknown,1
9,36,management,single,tertiary,no,265,yes,no,cellular,17,apr,140,1,-1,0,unknown,1
10,37,admin.,married,unknown,no,734,yes,no,unknown,21,may,1106,1,-1,0,unknown,1
11,35,blue-collar,married,secondary,no,1831,yes,no,cellular,13,may,96,2,358,2,failure,1
12,65,entrepreneur,married,tertiary,no,2331,no,no,telephone,11,aug,425,1,183,2,success,2
13,46,admin.,divorced,secondary,no,3280,no,no,cellular,1,jun,110,1,-1,0,unknown,1
14,48,blue-collar,married,primary,no,750,yes,no,cellular,18,may,90,6,-1,0,unknown,1
15,41,technician,married,secondary,no,2123,no,no,cellular,8,aug,130,2,-1,0,unknown,1
16,32,blue-collar,married,secondary,no,150,yes,no,unknown,9,may,1178,4,-1,0,unknown,1
17,33,admin.,married,unknown,no,2780,no,no,cellular,19,nov,485,1,-1,0,unknown,2
18,32,technician,married,secondary,no,348,yes,no,cellular,17,jul,926,1,-1,0,unknown,2
19,35,services,married,secondary,no,341,yes,no,cellular,14,may,345,1,-1,0,unknown,2
20,60,retired,married,secondary,no,523,no,no,cellular,13,aug,192,3,-1,0,unknown,2
21,32,technician,married,tertiary,no,3820,yes,no,cellular,3,mar,105,1,-1,0,unknown,1
22,46,blue-collar,married,secondary,no,425,yes,no,unknown,6,jun,168,3,-1,0,unknown,1
23,55,management,single,tertiary,no,115,no,no,unknown,5,may,111,4,-1,0,unknown,1
24,47,blue-collar,married,primary,no,673,no,yes,cellular,14,aug,106,6,-1,0,unknown,1
25,38,self-employed,married,secondary,no,1029,yes,no,cellular,4,feb,206,3,223,1,other,1
26,30,services,single,secondary,no,346,yes,no,cellular,6,may,87,3,345,5,other,1
27,30,management,single,tertiary,no,1637,yes,no,cellular,13,aug,163,3,-1,0,unknown,1
28,25,blue-collar,single,secondary,no,249,yes,no,unknown,12,may,149,5,-1,0,unknown,1
29,30,management,single,tertiary,no,508,no,yes,cellular,19,nov,70,4,-1,0,unknown,1
30,36,blue-collar,married,secondary,no,539,yes,yes,unknown,5,may,453,2,-1,0,unknown,1
31,38,unemployed,single,tertiary,no,324,yes,no,cellular,17,nov,167,3,-1,0,unknown,1
32,35,entrepreneur,married,secondary,no,313,yes,no,cellular,15,jul,479,1,-1,0,unknown,1
33,24,admin.,single,tertiary,no,106,no,yes,cellular,15,jun,77,1,-1,0,unknown,1
34,44,management,married,tertiary,no,254,no,no,cellular,26,aug,224,6,-1,0,unknown,1
35,38,management,divorced,tertiary,no,554,no,no,cellular,21,nov,45,1,101,4,failure,1
36,61,admin.,married,secondary,no,1541,no,no,cellular,20,oct,59,1,104,3,failure,1
37,32,management,married,tertiary,no,607,yes,no,unknown,18,jun,1060,5,-1,0,unknown,2
38,51,housemaid,married,primary,no,3486,no,no,cellular,20,aug,135,11,-1,0,unknown,1
39,47,management,married,tertiary,no,7708,yes,no,cellular,21,nov,157,5,-1,0,unknown,1
40,25,technician,single,secondary,no,325,no,no,cellular,22,oct,716,3,-1,0,unknown,2
41,59,retired,married,unknown,no,1033,no,no,unknown,11,jun,1199,1,-1,0,unknown,2
42,32,management,married,tertiary,no,477,yes,no,telephone,18,may,87,6,178,5,failure,1
43,52,blue-collar,married,primary,no,66653,no,no,cellular,14,aug,109,3,-1,0,unknown,1
44,31,services,married,secondary,no,3181,yes,no,unknown,29,may,128,7,-1,0,unknown,1
45,44,management,married,tertiary,no,647,no,no,unknown,16,jun,226,2,-1,0,unknown,1
46,54,management,married,secondary,no,1660,no,no,cellular,20,nov,337,3,-1,0,unknown,1
47,26,management,married,tertiary,no,877,yes,no,cellular,22,jul,611,1,-1,0,unknown,1
48,35,management,married,tertiary,no,416,no,no,cellular,7,aug,163,4,-1,0,unknown,1
49,32,self-employed,married,secondary,no,409,no,no,cellular,9,mar,217,2,-1,0,unknown,2
50,53,management,married,tertiary,no,7067,no,no,unknown,6,jun,82,3,-1,0,unknown,1
51,21,student,single,secondary,no,546,no,no,unknown,17,apr,94,1,-1,0,unknown,1
52,47,admin.,divorced,secondary,no,136,no,yes,cellular,23,jul,70,1,-1,0,unknown,1
53,27,technician,single,tertiary,no,1075,no,no,cellular,2,mar,658,1,-1,0,unknown,2
54,41,technician,married,secondary,no,2576,yes,yes,cellular,8,may,296,5,361,11,failure,1
55,51,management,married,tertiary,no,812,no,no,telephone,2,jul,248,3,-1,0,unknown,1
56,40,admin.,single,secondary,no,142,no,yes,unknown,20,jun,14,3,-1,0,unknown,1
57,30,self-employed,married,secondary,no,8563,yes,no,cellular,12,may,109,1,351,4,other,1
58,45,admin.,married,secondary,no,256,no,no,cellular,21,nov,135,2,-1,0,unknown,1
59,28,management,single,tertiary,no,866,no,no,cellular,23,mar,191,2,-1,0,unknown,2
60,56,blue-collar,single,secondary,no,1187,yes,no,cellular,5,feb,47,2,-1,0,unknown,1
61,42,blue-collar,married,primary,no,792,yes,yes,cellular,19,nov,611,2,175,12,other,1
62,54,management,married,primary,no,2587,no,no,cellular,2,jun,236,2,-1,0,unknown,2
63,38,blue-collar,single,secondary,no,1230,yes,no,unknown,6,jun,266,2,-1,0,unknown,1
64,30,management,single,tertiary,no,1456,yes,no,cellular,20,nov,227,1,-1,0,unknown,1
65,42,management,married,tertiary,no,223,no,no,cellular,6,aug,92,6,-1,0,unknown,1
66,58,technician,married,secondary,no,4717,yes,no,cellular,19,nov,135,1,-1,0,unknown,1
67,32,technician,single,tertiary,no,723,no,no,cellular,28,aug,68,27,-1,0,unknown,1
68,33,blue-collar,single,primary,no,279,yes,no,unknown,15,may,113,1,-1,0,unknown,1
69,47,services,divorced,secondary,no,829,no,yes,unknown,18,jun,466,2,-1,0,unknown,1
70,39,entrepreneur,single,tertiary,no,1837,no,no,cellular,29,jan,199,1,-1,0,unknown,1
71,32,management,married,secondary,no,14611,yes,no,cellular,17,jul,67,1,-1,0,unknown,1
72,36,management,divorced,tertiary,no,608,no,no,cellular,26,aug,125,2,-1,0,unknown,1
73,29,technician,single,secondary,no,3466,no,no,cellular,21,apr,274,1,-1,0,unknown,2
74,44,blue-collar,married,secondary,no,4236,yes,no,cellular,4,may,378,3,-1,0,unknown,1
75,49,blue-collar,married,primary,no,4140,no,no,cellular,7,jul,205,4,-1,0,unknown,1
76,48,management,married,unknown,no,7861,no,no,cellular,20,nov,380,1,-1,0,unknown,1
77,32,unemployed,single,tertiary,no,336,yes,no,unknown,8,may,139,1,-1,0,unknown,1
78,33,blue-collar,married,secondary,no,1240,yes,no,cellular,12,may,844,1,-1,0,unknown,2
79,35,management,single,tertiary,no,1635,no,no,cellular,18,aug,90,6,-1,0,unknown,1
80,35,blue-collar,married,secondary,no,592,yes,no,unknown,21,may,74,1,-1,0,unknown,1
81,41,blue-collar,married,primary,no,1018,yes,no,cellular,25,jul,171,1,-1,0,unknown,1
82,32,technician,married,unknown,no,102,yes,no,unknown,21,may,12,11,-1,0,unknown,1
